,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
144,sao gabriel da cachoeira,-0.13,-67.09,75.06,89.0,83.0,1.59,BR
145,kondinskoye,59.65,67.41,36.95,82.0,33.0,10.76,RU
146,baijiantan,45.63,85.18,58.53,40.0,35.0,4.09,CN
148,dzhebariki-khaya,62.22,135.8,10.08,88.0,52.0,2.17,RU
149,cidreira,-30.18,-50.21,67.82,81.0,0.0,12.93,BR
150,chuy,-33.7,-53.46,64.35,86.0,10.0,9.82,UY
151,chokurdakh,70.63,147.92,0.03,89.0,100.0,10.31,RU
152,saint george,37.1,-113.58,68.29,28.0,40.0,12.75,US
153,kavaratti,10.57,72.64,83.97,73.0,3.0,6.67,IN
156,kahului,20.89,-156.47,79.47,51.0,20.0,16.11,US
157,west wendover,40.74,-114.07,64.4,18.0,90.0,9.17,US
158,olga,43.74,135.29,47.12,54.0,7.0,4.29,RU
159,margate,51.38,1.39,46.99,93.0,19.0,1.99,GB
160,carnarvon,-24.87,113.63,71.6,88.0,72.0,5.82,AU
162,abalak,58.13,68.59,40.39,81.0,89.0,6.69,RU
163,bulgan,48.81,103.53,32.86,47.0,30.0,3.27,MN
164,yumen,40.28,97.2,50.04,24.0,96.0,15.08,CN
165,sao miguel do araguaia,-13.28,-50.16,72.28,87.0,100.0,3.98,BR
166,harwich,51.94,1.28,47.23,85.0,41.0,9.15,GB
167,bure,10.7,37.07,64.44,13.0,99.0,4.61,ET
168,itarema,-2.92,-39.92,77.56,83.0,31.0,1.52,BR
169,telenesti,47.5,28.37,46.99,45.0,69.0,3.65,MD
170,jiaojiang,28.68,121.44,62.01,73.0,100.0,3.31,CN
171,derzhavinsk,51.1,66.32,50.09,64.0,86.0,10.04,KZ
172,wasilla,61.58,-149.44,53.06,66.0,90.0,3.36,US
173,bundaberg,-24.85,152.35,75.29,94.0,40.0,9.17,AU
174,talara,-4.58,-81.27,76.32,70.0,26.0,9.26,PE
175,ariano irpino,41.15,15.08,61.0,76.0,85.0,1.81,IT
176,cabo san lucas,22.89,-109.91,74.48,60.0,5.0,16.11,MX
177,tessalit,20.2,1.01,83.89,12.0,4.0,7.76,ML
178,tiksi,71.69,128.87,10.29,85.0,68.0,3.94,RU
179,ascension,30.22,-90.9,70.12,94.0,75.0,5.21,US
180,codrington,-38.27,141.97,56.52,72.0,53.0,10.31,AU
181,lao cai,22.48,103.95,77.04,72.0,67.0,0.43,VN
182,vitim,59.45,112.56,20.23,89.0,36.0,6.69,RU
